year_month,hs_code,origin_country,reported_weight,taxable_value_usd
2022-01,3707901010,US,2.2,430.04
2022-02,3707901010,CN,5.47,1007.31
2022-02,3707901010,DE,0.75,125.1
2022-02,3707901010,JP,14.15,3014.2
2022-02,3707901010,TW,6.88,1149.53
2022-02,3707901010,US,2.87,503.7
2022-03,3707901010,CN,3.41,660.99
2022-03,3707901010,DE,3.47,616.21
2022-03,3707901010,JP,52.3,11172.32
2022-03,3707901010,TW,3.82,703.15
2022-03,3707901010,US,4.83,833.02
2022-04,3707901010,CN,3.18,601.92
2022-04,3707901010,DE,2.68,433.25
2022-04,3707901010,JP,18.06,3966.0
2022-04,3707901010,TW,23.21,4319.53
2022-04,3707901010,US,2.18,399.7
2022-05,3707901010,CN,3.09,517.45
2022-05,3707901010,DE,7.74,1298.73
2022-05,3707901010,JP,31.39,6741.41
2022-05,3707901010,TW,16.19,3104.97
2022-05,3707901010,US,3.5,635.26
2022-06,3707901010,CN,14.09,2556.24
2022-06,3707901010,DE,2.19,361.02
2022-06,3707901010,JP,47.38,10126.85
2022-06,3707901010,TW,3.41,638.14
2022-06,3707901010,US,3.64,659.66
2022-07,3707901010,CN,13.51,2625.72
2022-07,3707901010,DE,3.74,633.12
2022-07,3707901010,JP,26.56,5652.65
2022-07,3707901010,TW,6.42,1286.69
2022-07,3707901010,US,4.43,741.96
2022-08,3707901010,CN,25.92,4437.23
2022-08,3707901010,DE,3.35,610.69
2022-08,3707901010,JP,35.98,7613.04
2022-08,3707901010,TW,5.01,900.25
2022-08,3707901010,US,3.43,698.65
2022-09,3707901010,CN,16.51,3130.38
2022-09,3707901010,DE,1.89,356.2
2022-09,3707901010,JP,39.88,8032.18
2022-09,3707901010,TW,4.03,722.37
2022-09,3707901010,US,6.1,1157.17
