date,trs_score,rationale,article_count,country_mention_count,risk_signal_count,positive_signal_count
2017.02.14,43.1,baseline,11,1,1,2
2017.02.15,8.8,baseline,7,2,1,1
2017.02.16,32.0,baseline,9,0,0,0
2017.02.17,104.5,baseline,6,0,0,1
2017.02.18,72.5,baseline,7,3,0,3
2017.02.19,115.3,baseline,8,1,0,0
2017.02.20,122.0,baseline,5,1,0,0
2017.02.21,70.4,baseline,11,1,1,1
2017.02.22,118.9,baseline,7,4,1,0
2017.02.23,75.9,baseline,10,3,0,2
2017.02.24,78.8,baseline,8,1,0,0
2017.02.25,72.5,baseline,9,0,1,2
2017.02.26,88.3,baseline,7,3,1,1
2017.02.27,136.0,baseline,10,4,0,1
2017.02.28,110.7,baseline,10,1,0,1
2017.03.01,112.5,baseline,10,2,0,1
2017.03.02,93.3,baseline,10,3,0,0
2017.03.03,80.3,baseline,9,0,0,0
2017.03.04,53.6,baseline,9,1,0,0
2017.03.05,30.9,baseline,8,3,0,2
2017.03.06,56.0,baseline,5,4,0,0
2017.03.07,145.5,baseline,5,1,0,1
2017.03.08,95.9,baseline,9,1,1,1
2017.03.09,48.3,baseline,10,3,0,1
2017.03.10,44.5,baseline,12,5,2,2
2017.03.11,10.2,baseline,7,1,0,2
2017.03.12,44.5,baseline,11,3,0,1
2017.03.13,120.4,baseline,12,7,1,2
2017.03.14,125.2,baseline,7,2,0,0
2017.03.15,84.9,baseline,11,5,0,1
2017.03.16,85.2,baseline,3,0,0,0
2017.03.17,119.5,baseline,8,3,1,1
2017.03.18,77.3,baseline,4,2,0,0
2017.03.19,99.5,baseline,10,5,1,0
2017.03.20,129.4,baseline,5,2,0,0
2017.03.21,125.9,baseline,8,1,0,1
2017.03.22,189.9,low risk,9,3,0,0
2017.03.23,255.1,low risk,9,3,1,0
2017.03.24,236.6,low risk,6,0,0,0
2017.03.25,223.5,low risk,6,1,1,0
2017.03.26,188.9,low risk,6,1,0,1
2017.03.27,178.3,low risk,5,3,0,0
2017.03.28,149.9,baseline,6,1,0,0
2017.03.29,117.7,baseline,4,1,0,0
2017.03.30,85.8,baseline,9,2,1,1
2017.03.31,49.7,baseline,10,2,0,0
2017.04.01,68.3,baseline,9,2,0,1
2017.04.02,93.8,baseline,4,2,0,1
2017.04.03,101.5,baseline,8,0,0,0
2017.04.04,58.0,baseline,10,3,0,0
2017.04.05,107.8,baseline,3,0,0,0
2017.04.06,104.5,baseline,3,1,0,0
2017.04.07,117.4,baseline,3,1,0,1
2017.04.08,153.2,low risk,8,1,0,1
2017.04.09,174.2,low risk,12,4,1,2
2017.04.10,217.0,low risk,12,2,2,3
2017.04.11,210.7,low risk,6,1,0,0
2017.04.12,215.2,low risk,7,3,0,2
2017.04.13,169.9,low risk,7,2,0,0
2017.04.14,180.1,low risk,10,0,0,1
2017.04.15,137.9,baseline,9,0,1,0
2017.04.16,145.7,baseline,9,1,0,2
2017.04.17,169.0,low risk,7,3,0,0
2017.04.18,132.2,baseline,6,3,1,1
2017.04.19,153.7,low risk,5,1,1,0
2017.04.20,107.6,baseline,6,1,0,1
2017.04.21,90.6,baseline,11,9,2,0
2017.04.22,85.6,baseline,7,2,1,0
2017.04.23,36.4,baseline,13,2,0,1
2017.04.24,81.3,baseline,11,4,0,3
2017.04.25,66.8,baseline,9,2,0,0
2017.04.26,53.2,baseline,12,1,0,0
2017.04.27,23.8,baseline,9,1,0,3
2017.04.28,81.9,baseline,11,5,2,1
2017.04.29,76.6,baseline,7,2,0,0
2017.04.30,100.2,baseline,5,1,0,0
2017.05.01,127.8,baseline,8,1,1,1
2017.05.02,148.4,baseline,7,1,1,1
2017.05.03,133.6,baseline,9,2,0,0
2017.05.04,100.0,baseline,7,1,0,1
2017.05.05,126.3,baseline,3,1,0,1
2017.05.06,77.9,baseline,6,1,1,1
2017.05.07,120.8,baseline,8,1,0,0
2017.05.08,83.5,baseline,11,2,1,3
2017.05.09,94.3,baseline,6,0,0,1
2017.05.10,82.8,baseline,10,1,0,0
2017.05.11,64.6,baseline,9,4,0,0
2017.05.12,80.5,baseline,10,4,0,1
2017.05.13,57.3,baseline,8,1,1,0
2017.05.14,120.8,baseline,10,2,0,0
2017.05.15,117.6,baseline,5,1,0,0
2017.05.16,143.5,baseline,8,2,0,0
2017.05.17,118.9,baseline,7,2,0,1
2017.05.18,126.0,baseline,7,1,1,0
2017.05.19,62.2,baseline,6,2,0,0
2017.05.20,39.6,baseline,8,2,0,1
2017.05.21,34.7,baseline,7,2,0,0
2017.05.22,82.4,baseline,8,5,0,0
2017.05.23,113.2,baseline,7,1,0,1
2017.05.24,93.4,baseline,4,2,0,0
2017.05.25,74.4,baseline,5,2,0,0
2017.05.26,115.0,baseline,12,2,0,1
2017.05.27,99.3,baseline,12,1,0,2
2017.05.28,20.0,baseline,7,0,0,1
2017.05.29,11.0,baseline,3,1,1,0
2017.05.30,67.5,baseline,5,0,0,1
2017.05.31,97.3,baseline,11,6,2,1
2017.06.01,149.9,baseline,7,1,0,0
2017.06.02,99.7,baseline,7,4,0,1
2017.06.03,123.7,baseline,5,1,0,1
2017.06.04,181.7,low risk,6,1,0,0
2017.06.05,263.4,low risk,11,0,1,2
2017.06.06,231.8,low risk,10,4,1,3
2017.06.07,196.4,low risk,9,1,0,3
2017.06.08,210.3,low risk,9,2,0,3
2017.06.09,172.4,low risk,6,1,0,1
2017.06.10,159.1,low risk,7,3,0,0
2017.06.11,135.6,baseline,8,2,2,0
2017.06.12,129.8,baseline,8,2,0,2
2017.06.13,120.8,baseline,7,3,0,0
2017.06.14,155.1,low risk,4,2,1,0
2017.06.15,217.4,low risk,3,2,0,0
2017.06.16,176.3,low risk,6,2,0,2
2017.06.17,156.6,low risk,7,2,0,2
2017.06.18,201.9,low risk,6,2,2,1
2017.06.19,206.4,low risk,10,4,1,2
2017.06.20,196.9,low risk,9,0,0,1
2017.06.21,183.5,low risk,11,1,1,0
2017.06.22,212.8,low risk,11,5,1,3
2017.06.23,158.6,low risk,10,4,0,2
2017.06.24,90.0,baseline,12,4,0,1
2017.06.25,94.4,baseline,10,3,0,0
2017.06.26,121.3,baseline,4,0,0,1
2017.06.27,172.9,low risk,14,5,0,0
2017.06.28,233.0,low risk,6,3,0,2
2017.06.29,191.1,low risk,4,0,0,0
2017.06.30,222.8,low risk,9,3,1,3
2017.07.01,185.7,low risk,11,3,0,4
2017.07.02,159.9,low risk,7,1,1,1
2017.07.03,126.5,baseline,7,2,0,0
2017.07.04,78.6,baseline,9,4,1,1
2017.07.05,12.5,baseline,9,2,1,1
2017.07.06,27.7,baseline,11,2,0,0
2017.07.07,14.8,baseline,15,3,1,1
2017.07.08,43.4,baseline,12,1,0,1
2017.07.09,38.1,baseline,8,2,0,1
2017.07.10,52.9,baseline,9,3,0,1
2017.07.11,88.3,baseline,10,3,0,1
2017.07.12,20.3,baseline,8,2,1,1
2017.07.13,16.1,baseline,11,5,1,1
2017.07.14,0.0,baseline,7,0,0,0
2017.07.15,52.8,baseline,9,2,0,3
2017.07.16,40.5,baseline,8,2,0,1
2017.07.17,49.6,baseline,7,2,2,0
2017.07.18,118.2,baseline,7,2,1,2
2017.07.19,188.9,low risk,10,1,0,1
2017.07.20,180.7,low risk,5,1,0,1
2017.07.21,144.3,baseline,5,1,0,0
2017.07.22,173.5,low risk,8,3,0,1
2017.07.23,96.1,baseline,9,3,0,2
2017.07.24,153.3,low risk,8,3,1,1
2017.07.25,146.7,baseline,10,4,1,0
2017.07.26,83.2,baseline,12,4,1,1
2017.07.27,124.1,baseline,10,2,0,2
2017.07.28,143.3,baseline,7,2,0,1
2017.07.29,158.9,low risk,11,2,0,2
2017.07.30,83.1,baseline,8,0,0,0
2017.07.31,116.9,baseline,12,2,0,4
2017.08.01,80.8,baseline,6,0,0,1
2017.08.02,132.8,baseline,11,3,0,0
2017.08.03,81.0,baseline,12,3,1,1
2017.08.04,62.4,baseline,4,2,0,0
2017.08.05,113.4,baseline,9,2,1,0
2017.08.06,92.0,baseline,8,3,2,1
2017.08.07,144.8,baseline,7,2,1,0
2017.08.08,116.5,baseline,10,3,0,1
2017.08.09,164.8,low risk,7,2,0,2
2017.08.10,123.4,baseline,12,4,0,0
2017.08.11,163.1,low risk,12,3,0,0
2017.08.12,170.1,low risk,13,6,0,0
2017.08.13,145.2,baseline,11,5,0,1
2017.08.14,43.8,baseline,6,2,1,0
2017.08.15,14.3,baseline,12,4,2,4
2017.08.16,9.4,baseline,9,4,0,1
2017.08.17,4.0,baseline,10,4,2,2
2017.08.18,0.0,baseline,3,0,0,0
2017.08.19,20.7,baseline,8,4,1,1
2017.08.20,3.0,baseline,8,3,1,0
2017.08.21,2.9,baseline,8,2,0,1
2017.08.22,0.0,baseline,7,1,0,1
2017.08.23,15.4,baseline,6,0,2,0
2017.08.24,46.9,baseline,8,1,1,0
2017.08.25,84.4,baseline,9,2,2,0
2017.08.26,91.6,baseline,7,1,0,0
2017.08.27,104.9,baseline,8,0,1,1
2017.08.28,102.9,baseline,4,1,0,0
2017.08.29,143.3,baseline,9,3,0,2
2017.08.30,137.8,baseline,8,0,0,0
2017.08.31,114.0,baseline,8,0,1,1
2017.09.01,138.4,baseline,3,2,0,0
2017.09.02,116.0,baseline,7,2,1,2
2017.09.03,125.9,baseline,8,3,0,0
2017.09.04,121.2,baseline,13,5,2,1
2017.09.05,114.9,baseline,6,3,0,2
2017.09.06,145.2,baseline,14,7,1,1
2017.09.07,167.7,low risk,6,1,0,1
2017.09.08,166.1,low risk,11,3,3,1
2017.09.09,190.3,low risk,6,3,0,0
2017.09.10,192.0,low risk,5,1,0,1
2017.09.11,132.0,baseline,5,1,1,2
2017.09.12,161.9,low risk,5,1,0,1
2017.09.13,193.7,low risk,7,2,0,3
2017.09.14,156.8,low risk,8,2,1,2
2017.09.15,162.0,low risk,10,3,0,0
2017.09.16,105.4,baseline,8,2,0,0
2017.09.17,149.8,baseline,4,0,0,1
2017.09.18,171.0,low risk,5,1,0,0
2017.09.19,174.4,low risk,14,5,1,0
2017.09.20,136.8,baseline,10,2,1,0
2017.09.21,173.2,low risk,6,1,1,0
2017.09.22,140.5,baseline,6,3,0,1
2017.09.23,101.6,baseline,4,0,0,0
2017.09.24,111.2,baseline,4,1,1,1
2017.09.25,131.9,baseline,4,1,0,0
2017.09.26,119.3,baseline,5,2,0,2
2017.09.27,104.3,baseline,10,1,0,2
2017.09.28,105.9,baseline,10,4,0,0
2017.09.29,141.2,baseline,10,2,1,0
2017.09.30,167.9,low risk,14,5,2,2
2017.10.01,149.1,baseline,16,6,1,1
2017.10.02,143.0,baseline,12,4,2,1
2017.10.03,159.0,low risk,12,4,0,0
2017.10.04,172.3,low risk,6,3,0,1
2017.10.05,153.3,low risk,6,0,0,1
2017.10.06,162.1,low risk,5,0,1,2
2017.10.07,104.1,baseline,8,0,0,1
2017.10.08,69.8,baseline,6,2,0,0
2017.10.09,81.2,baseline,10,2,0,0
2017.10.10,40.1,baseline,7,3,0,3
2017.10.11,90.4,baseline,11,3,1,2
2017.10.12,78.8,baseline,7,2,0,0
2017.10.13,87.7,baseline,9,2,0,0
2017.10.14,135.6,baseline,8,3,0,1
2017.10.15,96.7,baseline,6,2,0,0
2017.10.16,100.1,baseline,9,2,1,1
2017.10.17,65.3,baseline,3,1,0,1
2017.10.18,89.7,baseline,7,3,0,2
2017.10.19,110.9,baseline,14,2,0,1
2017.10.20,57.3,baseline,6,3,0,0
2017.10.21,14.2,baseline,4,0,0,1
2017.10.22,34.9,baseline,14,4,1,1
2017.10.23,40.0,baseline,12,2,0,2
2017.10.24,100.8,baseline,15,7,1,0
2017.10.25,130.3,baseline,9,1,0,0
2017.10.26,143.5,baseline,12,4,1,0
2017.10.27,127.6,baseline,7,2,0,2
2017.10.28,116.9,baseline,9,1,1,1
2017.10.29,119.4,baseline,7,3,0,3
2017.10.30,163.1,low risk,6,1,1,0
2017.10.31,161.7,low risk,10,2,0,1
2017.11.01,188.9,low risk,3,0,0,0
2017.11.02,224.0,low risk,5,0,0,1
2017.11.03,155.1,low risk,5,0,0,1
2017.11.04,100.7,baseline,7,2,0,0
2017.11.05,101.9,baseline,11,4,1,1
2017.11.06,193.5,low risk,8,4,0,1
2017.11.07,209.1,low risk,4,1,0,1
2017.11.08,172.9,low risk,8,3,0,2
2017.11.09,107.4,baseline,10,3,0,1
2017.11.10,77.2,baseline,9,3,0,0
2017.11.11,51.8,baseline,6,1,2,1
2017.11.12,64.0,baseline,12,3,1,0
2017.11.13,41.2,baseline,4,1,0,1
2017.11.14,81.0,baseline,7,2,0,0
2017.11.15,108.2,baseline,9,3,2,0
2017.11.16,99.7,baseline,5,2,0,2
2017.11.17,122.5,baseline,11,4,0,0
2017.11.18,154.4,low risk,10,2,1,3
2017.11.19,137.3,baseline,5,0,0,0
2017.11.20,133.2,baseline,9,1,0,1
2017.11.21,100.6,baseline,11,1,1,1
2017.11.22,82.5,baseline,6,2,1,0
2017.11.23,124.0,baseline,5,0,0,0
2017.11.24,98.3,baseline,4,1,0,0
2017.11.25,63.1,baseline,9,1,0,2
2017.11.26,42.8,baseline,7,2,0,1
2017.11.27,18.9,baseline,8,4,0,0
2017.11.28,20.7,baseline,16,0,1,2
2017.11.29,36.9,baseline,9,2,0,2
2017.11.30,45.9,baseline,8,0,1,0
2017.12.01,29.8,baseline,10,1,0,1
2017.12.02,0.3,baseline,4,1,0,1
2017.12.03,37.9,baseline,8,2,0,2
2017.12.04,40.3,baseline,7,3,0,0
2017.12.05,97.9,baseline,6,2,0,0
2017.12.06,121.6,baseline,7,2,0,1
2017.12.07,129.3,baseline,10,1,1,0
2017.12.08,160.7,low risk,5,0,0,1
2017.12.09,144.0,baseline,6,1,1,1
2017.12.10,110.8,baseline,13,4,0,0
2017.12.11,104.1,baseline,10,4,1,1
2017.12.12,96.1,baseline,9,0,2,1
2017.12.13,27.4,baseline,6,1,0,2
2017.12.14,37.1,baseline,11,3,0,0
2017.12.15,53.7,baseline,13,5,1,2
2017.12.16,13.8,baseline,9,2,1,1
2017.12.17,62.3,baseline,8,2,0,1
2017.12.18,100.5,baseline,9,4,0,0
2017.12.19,87.7,baseline,2,1,0,0
2017.12.20,112.2,baseline,7,0,0,2
2017.12.21,113.9,baseline,8,1,0,3
2017.12.22,109.0,baseline,9,3,0,0
2017.12.23,125.8,baseline,6,0,0,2
2017.12.24,165.6,low risk,4,0,0,0
2017.12.25,111.2,baseline,3,0,0,0
2017.12.26,102.9,baseline,7,2,1,1
2017.12.27,70.9,baseline,15,4,0,2
2017.12.28,75.0,baseline,9,1,1,1
2017.12.29,74.0,baseline,11,1,2,0
2017.12.30,98.6,baseline,6,0,0,1
2017.12.31,180.7,low risk,13,2,0,1
2018.01.01,139.3,baseline,8,3,0,0
2018.01.02,113.7,baseline,8,1,1,0
2018.01.03,72.0,baseline,8,2,0,1
2018.01.04,94.3,baseline,8,2,0,0
2018.01.05,71.7,baseline,6,1,0,0
2018.01.06,154.0,low risk,8,1,1,0
2018.01.07,112.4,baseline,6,1,1,1
2018.01.08,110.3,baseline,11,2,1,2
2018.01.09,59.5,baseline,16,3,1,0
2018.01.10,75.5,baseline,4,1,1,0
2018.01.11,110.2,baseline,7,3,0,1
2018.01.12,144.2,baseline,9,2,0,2
2018.01.13,147.8,baseline,9,1,0,1
2018.01.14,155.6,low risk,16,6,0,1
2018.01.15,125.6,baseline,6,0,0,0
2018.01.16,162.7,low risk,6,1,0,0
2018.01.17,159.4,low risk,7,2,0,0
2018.01.18,144.7,baseline,7,1,0,0
2018.01.19,84.0,baseline,5,1,0,1
2018.01.20,101.0,baseline,5,1,0,3
2018.01.21,85.0,baseline,11,1,2,2
2018.01.22,147.8,baseline,11,3,0,0
2018.01.23,80.5,baseline,10,4,0,0
2018.01.24,75.0,baseline,3,1,0,0
2018.01.25,33.0,baseline,9,2,1,1
2018.01.26,92.6,baseline,10,1,0,1
2018.01.27,65.9,baseline,8,1,1,2
2018.01.28,33.0,baseline,6,2,1,0
2018.01.29,57.1,baseline,10,2,1,0
2018.01.30,98.2,baseline,7,2,1,1
2018.01.31,107.8,baseline,7,2,1,0
2018.02.01,94.3,baseline,9,3,0,3
2018.02.02,91.4,baseline,10,2,1,2
2018.02.03,51.9,baseline,10,4,1,1
2018.02.04,59.6,baseline,7,1,0,1
2018.02.05,91.5,baseline,9,0,0,1
2018.02.06,144.8,baseline,11,3,0,0
2018.02.07,109.8,baseline,8,1,0,0
2018.02.08,67.8,baseline,4,1,0,1
2018.02.09,71.4,baseline,8,2,0,0
2018.02.10,149.7,baseline,8,2,0,1
2018.02.11,182.7,low risk,4,2,1,0
2018.02.12,158.2,low risk,4,1,0,1
2018.02.13,102.2,baseline,10,3,0,0
2018.02.14,158.0,low risk,12,6,1,1
2018.02.15,186.6,low risk,6,1,0,0
2018.02.16,235.7,low risk,8,4,0,2
2018.02.17,256.7,low risk,6,1,0,0
2018.02.18,265.9,low risk,11,2,0,1
2018.02.19,249.3,low risk,6,1,1,0
2018.02.20,224.6,low risk,6,3,0,0
2018.02.21,225.6,low risk,7,2,1,1
2018.02.22,199.0,low risk,13,3,0,0
2018.02.23,207.1,low risk,7,1,0,0
2018.02.24,265.6,low risk,8,1,2,1
2018.02.25,260.6,low risk,7,4,1,1
2018.02.26,205.6,low risk,9,1,2,0
2018.02.27,188.3,low risk,10,5,2,1
2018.02.28,149.1,baseline,6,1,0,0
2018.03.01,169.7,low risk,11,6,0,0
2018.03.02,172.1,low risk,4,2,0,0
2018.03.03,112.8,baseline,3,3,0,0
2018.03.04,136.6,baseline,9,1,0,0
2018.03.05,135.5,baseline,5,0,0,0
2018.03.06,111.6,baseline,12,2,0,3
2018.03.07,62.0,baseline,9,2,0,2
2018.03.08,108.1,baseline,3,2,0,0
2018.03.09,79.3,baseline,8,2,1,2
2018.03.10,22.9,baseline,7,3,1,2
2018.03.11,0.0,baseline,10,1,0,2
2018.03.12,13.6,baseline,8,0,0,1
2018.03.13,0.0,baseline,13,6,0,1
2018.03.14,0.0,baseline,3,1,0,0
2018.03.15,38.7,baseline,15,2,0,2
2018.03.16,50.9,baseline,7,3,1,0
2018.03.17,27.6,baseline,4,0,0,2
2018.03.18,60.5,baseline,3,2,0,1
2018.03.19,173.8,low risk,11,2,1,1
2018.03.20,181.9,low risk,12,1,0,1
2018.03.21,138.8,baseline,5,2,0,2
2018.03.22,117.6,baseline,7,1,0,1
2018.03.23,83.3,baseline,10,2,0,2
2018.03.24,163.6,low risk,8,2,0,2
2018.03.25,161.3,low risk,6,0,1,1
2018.03.26,94.9,baseline,9,2,1,2
2018.03.27,48.5,baseline,6,1,1,0
2018.03.28,101.3,baseline,11,3,1,1
2018.03.29,129.9,baseline,11,2,0,0
2018.03.30,126.3,baseline,7,0,0,2
2018.03.31,183.8,low risk,5,0,0,0
2018.04.01,217.5,low risk,9,2,0,2
2018.04.02,131.1,baseline,10,2,1,2
2018.04.03,108.1,baseline,11,0,0,1
2018.04.04,75.3,baseline,7,0,0,0
2018.04.05,42.2,baseline,11,5,0,2
2018.04.06,53.5,baseline,7,2,0,1
2018.04.07,118.7,baseline,8,0,0,0
2018.04.08,159.8,low risk,9,3,3,2
2018.04.09,137.3,baseline,7,2,0,1
2018.04.10,110.9,baseline,7,3,0,1
2018.04.11,93.4,baseline,8,3,1,0
2018.04.12,101.4,baseline,9,4,0,2
2018.04.13,98.0,baseline,6,1,2,1
2018.04.14,102.6,baseline,7,1,0,0
2018.04.15,128.7,baseline,5,3,0,1
2018.04.16,131.5,baseline,10,3,0,2
2018.04.17,200.2,low risk,7,2,0,0
2018.04.18,192.0,low risk,11,3,0,1
2018.04.19,121.9,baseline,9,1,0,0
2018.04.20,121.6,baseline,10,1,0,1
2018.04.21,91.9,baseline,8,3,0,0
2018.04.22,76.9,baseline,8,0,0,1
2018.04.23,60.3,baseline,7,2,2,1
2018.04.24,111.1,baseline,6,0,1,0
2018.04.25,73.7,baseline,10,3,0,1
2018.04.26,145.1,baseline,7,3,0,0
2018.04.27,171.0,low risk,13,4,0,2
2018.04.28,184.0,low risk,7,1,0,0
2018.04.29,153.2,low risk,10,2,0,1
2018.04.30,191.8,low risk,6,0,0,1
2018.05.01,184.4,low risk,6,1,0,0
2018.05.02,199.5,low risk,8,2,3,1
2018.05.03,131.1,baseline,7,4,0,2
2018.05.04,114.8,baseline,8,4,0,2
2018.05.05,57.7,baseline,3,1,0,0
2018.05.06,114.6,baseline,5,2,1,1
2018.05.07,98.9,baseline,11,2,2,1
2018.05.08,94.2,baseline,10,1,2,1
2018.05.09,108.8,baseline,3,1,0,1
2018.05.10,60.6,baseline,12,2,0,0
2018.05.11,74.3,baseline,8,2,2,0
2018.05.12,131.9,baseline,6,4,0,2
2018.05.13,163.6,low risk,7,2,1,1
2018.05.14,101.4,baseline,12,3,0,2
2018.05.15,109.3,baseline,10,3,1,0
2018.05.16,128.4,baseline,5,3,0,0
2018.05.17,122.1,baseline,8,3,0,0
2018.05.18,88.3,baseline,9,3,0,2
2018.05.19,107.8,baseline,11,2,0,0
2018.05.20,151.7,low risk,6,1,1,0
2018.05.21,105.9,baseline,5,2,0,1
2018.05.22,149.8,baseline,9,4,1,0
2018.05.23,197.7,low risk,6,1,0,0
2018.05.24,257.2,low risk,8,2,0,0
2018.05.25,241.2,low risk,8,3,0,0
2018.05.26,252.8,low risk,3,2,0,0
2018.05.27,179.9,low risk,9,1,0,1
2018.05.28,186.5,low risk,6,1,0,0
2018.05.29,201.6,low risk,7,1,1,0
2018.05.30,121.0,baseline,8,3,0,2
2018.05.31,103.5,baseline,6,1,0,1
2018.06.01,69.8,baseline,6,3,0,1
2018.06.02,78.4,baseline,11,2,3,0
2018.06.03,79.5,baseline,5,2,0,1
2018.06.04,160.2,low risk,8,4,2,0
2018.06.05,124.1,baseline,4,0,0,1
2018.06.06,88.3,baseline,5,1,0,0
2018.06.07,62.0,baseline,9,2,0,2
2018.06.08,109.8,baseline,8,1,0,0
2018.06.09,86.9,baseline,12,3,1,3
2018.06.10,105.9,baseline,6,2,0,0
2018.06.11,20.5,baseline,9,2,2,0
2018.06.12,14.3,baseline,4,0,0,0
2018.06.13,15.9,baseline,5,0,0,0
2018.06.14,30.3,baseline,4,0,0,0
2018.06.15,61.0,baseline,6,1,0,1
2018.06.16,141.2,baseline,7,2,0,1
2018.06.17,122.4,baseline,14,4,1,2
2018.06.18,137.2,baseline,9,3,0,0
2018.06.19,82.1,baseline,5,0,1,1
2018.06.20,124.6,baseline,6,2,0,1
2018.06.21,141.0,baseline,17,5,2,0
2018.06.22,114.4,baseline,5,2,0,2
2018.06.23,122.5,baseline,8,2,0,1
2018.06.24,124.4,baseline,6,1,0,0
2018.06.25,35.2,baseline,7,1,0,2
2018.06.26,31.1,baseline,12,1,0,1
2018.06.27,94.2,baseline,5,2,0,0
2018.06.28,187.6,low risk,1,0,0,1
2018.06.29,277.4,low risk,10,3,0,0
2018.06.30,259.4,low risk,9,1,1,2
2018.07.01,250.6,low risk,4,1,1,1
2018.07.02,182.9,low risk,17,6,1,2
2018.07.03,133.0,baseline,5,1,0,1
2018.07.04,126.9,baseline,12,1,0,3
2018.07.05,43.1,baseline,11,1,1,0
2018.07.06,85.8,baseline,9,4,1,0
2018.07.07,87.2,baseline,11,2,1,1
2018.07.08,87.5,baseline,9,1,0,1
2018.07.09,69.0,baseline,9,0,0,1
2018.07.10,115.6,baseline,11,4,0,1
2018.07.11,88.9,baseline,7,3,0,0
2018.07.12,123.4,baseline,11,5,0,0
2018.07.13,82.5,baseline,9,4,0,2
2018.07.14,122.1,baseline,7,3,0,1
2018.07.15,147.7,baseline,5,3,0,1
2018.07.16,135.3,baseline,17,4,1,1
2018.07.17,152.2,low risk,4,2,0,0
2018.07.18,139.9,baseline,11,1,1,0
2018.07.19,167.0,low risk,5,0,1,2
2018.07.20,149.9,baseline,9,3,0,0
2018.07.21,121.6,baseline,9,1,2,0
2018.07.22,97.1,baseline,7,2,0,1
2018.07.23,95.5,baseline,11,2,1,1
2018.07.24,81.7,baseline,7,2,0,1
2018.07.25,78.4,baseline,6,1,1,1
2018.07.26,149.2,baseline,9,0,0,0
2018.07.27,112.8,baseline,5,3,0,0
2018.07.28,152.1,low risk,5,1,0,0
2018.07.29,147.5,baseline,5,0,0,0
2018.07.30,149.3,baseline,7,3,0,1
2018.07.31,136.6,baseline,8,1,1,1
2018.08.01,127.4,baseline,5,1,0,0
2018.08.02,86.9,baseline,7,1,0,0
2018.08.03,51.4,baseline,4,1,0,0
2018.08.04,88.1,baseline,9,3,0,1
2018.08.05,109.9,baseline,6,1,0,1
2018.08.06,56.4,baseline,11,5,0,1
2018.08.07,89.3,baseline,8,2,0,1
2018.08.08,104.0,baseline,10,3,0,0
2018.08.09,55.2,baseline,4,1,0,0
2018.08.10,55.3,baseline,4,1,0,1
2018.08.11,77.0,baseline,7,1,0,0
2018.08.12,46.2,baseline,5,2,0,0
2018.08.13,0.0,baseline,8,1,0,2
2018.08.14,0.4,baseline,8,3,0,0
2018.08.15,40.1,baseline,9,2,0,0
2018.08.16,0.0,baseline,9,1,0,0
2018.08.17,40.3,baseline,11,2,0,0
2018.08.18,80.6,baseline,4,0,0,0
2018.08.19,94.1,baseline,10,2,0,3
2018.08.20,68.9,baseline,6,0,0,0
2018.08.21,117.4,baseline,11,0,2,2
2018.08.22,84.0,baseline,7,2,0,1
2018.08.23,79.8,baseline,9,2,0,0
2018.08.24,39.4,baseline,9,2,2,1
2018.08.25,44.2,baseline,7,2,1,1
2018.08.26,27.5,baseline,9,2,1,0
2018.08.27,37.1,baseline,7,2,0,0
2018.08.28,40.8,baseline,10,4,0,1
